state,population,male,female,literate,male_literate,female_literate,workers,male_workers,female_workers,main_workers,marginal_workers,non_workers,rural_households,urban_households,households,housholds_with_electric_lighting,households_with_internet,households_with_computer,households_with_telephone_mobile_phone,households_with_telephone_mobile_phone_mobile_only,households_with_telephone_mobile_phone_landline_only,households_with_television,households_with_bicycle,households_with_car_jeep_van,households_with_scooter_motorcycle_moped,households_with_separate_kitchen_cooking_inside_house,having_bathing_facility_total_households,having_latrine_facility_within_the_premises_total_households,ownership_owned_households,ownership_rented_households,type_of_latrine_facility_flush_pour_flush_latrine_connected_to_other_system_households,type_of_latrine_facility_pit_latrine_households,households_with_tv_computer_laptop_telephone_mobile_phone_and_scooter_car,literacy_rate_pct,female_sex_ratio_per_1000_males,urbanization_pct,owned_house_pct,internet_access_pct,electricity_access_pct,source_dataset
ANDAMAN AND NICOBAR ISLANDS,380581,202871,177710,294281,164377,129904,152535,120889,31646,125910,26625,228046,89950,51725,141675,80421,3234,8194,78100,67286,2841,63965,17066,6426,23076,81190,71147,65450,53527,30123,1774,2679,5099,77.32414387475991,875.9753735132177,36.50961708134815,37.78154226221987,2.282689253573319,56.76442562202223,census
ANDHRA PRADESH,84580777,42442146,42138631,50556760,28251243,22305517,39422906,24185595,15237311,33037378,6385528,45157871,17174077,8420919,25594996,19377222,549284,1763555,13262317,11549740,857080,12358093,6754231,562769,3914068,14972999,14114228,10424003,16498540,4146219,204395,1141558,816992,59.77334542575791,992.8487357825876,32.90064589187668,64.46002179488521,2.146060112687652,75.70707180419173,census
ARUNACHAL PRADESH,1383727,713912,669815,766005,439868,326137,587657,350273,237384,478721,108936,796070,270546,105414,375960,171821,5128,21247,126368,104094,7592,107624,50987,20729,36691,249360,111366,162116,178605,59201,26277,49148,9485,55.35810170647822,938.2318829211443,28.03862112990744,47.50638365783594,1.3639748909458451,45.70193637621024,census
ASSAM,31205576,15939443,15266133,19177977,10568639,8609338,11969690,8541560,3428130,8687123,3282567,19235886,7588998,1485505,9074503,2358900,100173,593484,3047557,2766506,137261,1751229,3504408,239904,646410,4972750,2659101,4131931,5598028,435455,536172,2207938,164319,61.45689155040753,957.7582478885868,16.370097624079246,61.68963743799522,1.1038951664901098,25.99481205747576,census
BIHAR,104099452,54278157,49821295,52504553,31608023,20896530,34724987,25222189,9502798,21359611,13365376,69374465,20713342,2701332,23414674,3098435,165521,1334565,10510770,9773448,425705,2751541,9230677,323190,1534633,15425093,7090850,4367236,18332993,396421,438088,473855,180385,50.43691584466746,917.8884795222503,11.53691911320226,78.29702433610649,0.706911400944553,13.232876955707347,census
CHANDIGARH,1055450,580663,474787,805438,465346,340092,404136,328159,75977,385929,18207,651314,8911,289456,298367,231204,44283,78113,209783,148411,14027,193932,135055,60494,109701,226263,210801,206017,112043,110377,542,1178,67323,76.31228385996495,817.6636017793454,97.01340965991548,37.55207512895193,14.841788803721592,77.48980282672011,census
CHHATTISGARH,25545198,12832895,12712303,15379922,8807893,6572029,12180225,7133866,5046359,8241714,3938511,13364973,5164079,1635610,6799689,4231941,67820,260971,1726254,1528665,86376,1760851,3428564,126332,878000,5331269,1132505,1382706,5072438,366686,105262,194474,146190,60.20670499402666,990.6028998133312,24.054188360673557,74.59808823609433,0.99739855749285,62.237272910569885,census
DADRA AND NAGAR HAVELI,343709,193760,149949,223230,142521,80709,157161,119293,37868,130299,26862,186548,48221,60562,108783,69558,2013,6017,45973,41837,1706,34467,17822,4136,18647,70851,48312,39999,40607,31255,433,539,3669,64.94738281511395,773.8903798513626,55.672301738323085,37.32844286331504,1.8504729599294008,63.94197622790325,census
DAMAN AND DIU,243247,150301,92946,188406,124643,63763,121271,107434,13837,116435,4836,121976,19794,70135,89929,59824,1684,5598,52172,45871,2494,36838,18381,3561,18987,56625,49815,47233,23100,35416,217,594,3652,77.45460375667531,618.3990791811099,77.989302672108,25.686930800965207,1.872588375273827,66.52359083276808,census
GOA,1458545,739140,719405,1165487,615823,549664,577248,419536,157712,476053,101195,881297,204479,372103,576582,312761,41064,100565,287680,173533,39008,261842,79512,79373,183814,311133,289111,257338,254532,56191,10479,14177,71765,79.9075105670377,973.3000514110994,64.53600702068397,44.14497851129588,7.121970508964901,54.24397570510352,census
