stateut,2020,2021,2022,2023,source_file,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember___60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober___60_years,source_file_rs_rs_session_266_au_1736_a_to_c_3_(1)_clean.csv,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__60_years,source_file_rs_rs_session_266_au_1736_a_to_c_4_clean.csv,tb_cases_notification_in_2024_january_to_october,tb_deaths__2024_january_to_october,source_file_rs_rs_session_266_au_2511_1_clean.csv,2023__tb_patients_notified,2023__treated_successfully,2024__tb_patients_notified,source_file_rs_rs_session_267_au_3467_1_clean.csv,source_dataset
Andaman and Nicobar Islands,478,507,534,295,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,4,27,27,26,16,4,24,31,22,19,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,0.0,2.4,3.9,8.2,7.7,0.0,5.4,1.7,7.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,445,13,rs_RS_Session_266_AU_2511_1_clean.csv,488,369,533,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Andhra Pradesh,64065,86832,92187,37609,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,17,24,30,26,3,17,25,30,25,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.7,0.7,1.5,1.6,2.7,0.6,0.8,1.4,1.9,2.5,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,69371,1208,rs_RS_Session_266_AU_2511_1_clean.csv,86033,82215,81804,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Arunachal Pradesh,2522,2724,2863,1126,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,9,44,23,14,10,10,41,24,15,10,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.0,1.0,2.2,5.0,5.5,1.0,0.9,2.2,8.2,9.6,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2430,65,rs_RS_Session_266_AU_2511_1_clean.csv,2606,1948,2939,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Assam,35261,37641,47822,21155,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,26,29,25,17,3,26,28,25,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.8,2.0,3.1,5.0,6.5,1.5,1.9,3.2,4.5,6.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,42202,1533,rs_RS_Session_266_AU_2511_1_clean.csv,50180,44878,49389,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Bihar,98994,131703,161165,77278,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,10,34,23,18,15,10,34,22,18,16,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.5,1.3,2.5,4.8,7.7,1.0,1.1,2.2,4.2,6.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,167193,4116,rs_RS_Session_266_AU_2511_1_clean.csv,184706,155580,203853,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Chandigarh,4294,4720,6066,1693,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,8,35,26,17,14,9,36,25,17,13,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.6,1.3,3.5,8.5,15.0,3.1,1.5,4.1,5.9,9.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,5885,129,rs_RS_Session_266_AU_2511_1_clean.csv,3912,3050,4108,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Chhattisgarh,29339,32416,38521,15791,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,25,27,24,18,5,26,27,24,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.9,2.4,4.1,7.0,11.5,1.9,2.2,4.2,6.4,10.2,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,32526,1571,rs_RS_Session_266_AU_2511_1_clean.csv,37473,33401,38957,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Dadra And Nagar Haveli And Daman And Diu,965,1013,1399,368,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,41,31,14,8,7,43,29,15,6,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,0.8,1.1,8.6,9.8,0.0,0.3,0.4,0.0,4.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,889,4,rs_RS_Session_266_AU_2511_1_clean.csv,822,725,790,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Delhi,86842,103038,106731,37361,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,10,43,24,14,9,11,43,23,13,10,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.0,1.0,2.3,5.0,8.5,1.1,0.9,2.2,4.0,7.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,88868,1523,rs_RS_Session_266_AU_2511_1_clean.csv,82426,64098,90281,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Goa,1660,2018,2091,871,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,25,28,24,20,3,26,25,26,20,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,6.7,2.7,5.4,12.4,19.7,4.0,1.0,5.9,8.2,18.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,1710,117,rs_RS_Session_266_AU_2511_1_clean.csv,1823,1376,1973,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Gujarat,120560,144731,151912,60585,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,30,28,22,15,4,30,28,22,16,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.7,1.6,3.6,5.7,8.7,1.7,1.7,3.4,5.4,7.9,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,113431,4413,rs_RS_Session_266_AU_2511_1_clean.csv,133898,122604,129465,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Haryana,62697,69083,75838,34531,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,32,25,19,19,6,32,25,19,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.1,1.2,2.9,6.7,8.9,1.3,1.3,2.9,5.5,9.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,73703,2505,rs_RS_Session_266_AU_2511_1_clean.csv,75745,66862,83673,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Himachal Pradesh,13424,14492,16089,6924,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,27,24,21,25,3,28,22,22,25,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.0,0.8,2.8,6.2,14.6,1.6,1.0,2.3,5.8,14.5,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,13429,723,rs_RS_Session_266_AU_2511_1_clean.csv,15399,13577,15621,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Jammu And Kashmir,8830,10826,11804,5253,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,27,22,21,25,5,28,21,20,26,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.1,0.4,1.7,4.6,8.8,1.6,0.8,1.8,3.3,7.6,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,10442,313,rs_RS_Session_266_AU_2511_1_clean.csv,11382,9808,11964,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Jharkhand,45505,52179,57320,23890,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,29,28,23,15,4,29,29,23,15,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.3,1.3,2.5,4.0,4.9,1.1,1.3,2.4,3.4,4.8,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,53213,1272,rs_RS_Session_266_AU_2511_1_clean.csv,60592,54623,63913,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Karnataka,65785,72435,80416,31794,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,4,22,28,25,21,4,22,27,26,21,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.2,2.2,5.7,8.3,13.5,1.4,2.1,4.9,6.8,11.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,65186,3711,rs_RS_Session_266_AU_2511_1_clean.csv,74493,65094,74135,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Kerala,20835,21872,23388,9113,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,2,13,17,32,36,2,14,18,32,34,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.6,1.2,3.1,6.9,16.9,0.7,1.4,3.4,7.4,16.9,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,17267,1540,rs_RS_Session_266_AU_2511_1_clean.csv,20558,17117,20214,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Ladakh,239,291,320,167,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,16,14,18,49,3,15,16,16,50,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,1.4,0.0,1.7,8.6,0.0,2.0,0.0,2.2,2.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,235,5,rs_RS_Session_266_AU_2511_1_clean.csv,328,257,318,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Lakshadweep,20,12,11,6,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,0,42,25,8,25,0,8,25,33,34,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,6,1,rs_RS_Session_266_AU_2511_1_clean.csv,13,12,14,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
