state_ut,children_under_5_years_who_are_stunted_(height-for-age)18_(%),children_under_5_years_who_are_underweight_(weight-for-age)18_(%),children_under_5_years_who_are_wasted_(weight-for-height)18_(%),children_age_6-59_months_who_are_anaemic_(<11.0_g/dl)22_(%),men_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),women_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),men_age_15_years_and_above_who_consume_alcohol_(%),population_living_in_households_that_use_an_improved_sanitation_facility2_(%),households_using_clean_fuel_for_cooking3_(%),source_dataset
Andaman & Nicobar Islands,23.24,28.276666666666667,18.426666666666662,37.13333333333333,66.00666666666667,43.27666666666667,47.52,86.38666666666666,70.03333333333333,nfhs
Andhra Pradesh,30.383846153846157,28.766153846153845,16.096153846153847,63.46692307692308,22.41692307692308,4.178461538461539,23.354615384615386,76.69692307692308,82.86384615384615,nfhs
Arunachal Pradesh,26.74,14.117,13.357499999999998,56.618,49.3705,18.157,53.023,84.53049999999999,52.281000000000006,nfhs
Assam,35.69181818181818,31.59454545454545,20.69,69.80787878787878,52.94212121212121,22.315151515151516,28.83242424242424,70.10333333333332,39.919696969696965,nfhs
Bihar,42.58289473684211,41.72026315789474,24.240263157894734,70.07973684210526,48.85026315789474,4.785,15.945263157894736,49.47210526315789,36.35763157894737,nfhs
Chandigarh,25.3,20.56,8.41,54.58,12.06,0.56,18.63,84.98,95.81,nfhs
Chhattisgarh,35.67333333333334,33.218148148148146,19.08185185185185,68.99259259259259,45.7925925925926,21.00777777777778,37.85333333333333,72.79962962962962,28.25555555555556,nfhs
Dadra And Nagar Haveli & Daman And Diu,35.45333333333333,33.28666666666667,21.153333333333336,73.35000000000001,36.803333333333335,2.4133333333333336,27.96333333333333,73.27999999999999,83.89999999999999,nfhs
Goa,26.24,23.44,19.53,52.6,18.055,2.58,37.465,87.955,96.465,nfhs
Gujarat,38.65272727272727,40.32909090909092,26.133333333333333,79.83757575757575,44.21333333333333,9.74969696969697,6.304242424242425,71.73,59.842121212121214,nfhs
