state,india_tb_reports_2020,india_tb_reports_2021,india_tb_reports_2022,india_tb_reports_2023,india_tb_reports_source_file,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__0_to_14_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__15_years_to_30_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__31_years_to_45_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__46_years_to_60_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember___60_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__0_to_14_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__15_years_to_30_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__31_years_to_45_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__46_years_to_60_years,india_tb_reports_percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober___60_years,india_tb_reports_source_file_rs_rs_session_266_au_1736_a_to_c_3_(1)_clean.csv,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__0_to_14_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__15_years_to_30_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__31_years_to_45_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__46_years_to_60_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__60_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__0_to_14_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__15_years_to_30_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__31_years_to_45_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__46_years_to_60_years,india_tb_reports_percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__60_years,india_tb_reports_source_file_rs_rs_session_266_au_1736_a_to_c_4_clean.csv,india_tb_reports_tb_cases_notification_in_2024_january_to_october,india_tb_reports_tb_deaths__2024_january_to_october,india_tb_reports_source_file_rs_rs_session_266_au_2511_1_clean.csv,india_tb_reports_2023__tb_patients_notified,india_tb_reports_2023__treated_successfully,india_tb_reports_2024__tb_patients_notified,india_tb_reports_source_file_rs_rs_session_267_au_3467_1_clean.csv,india_tb_reports_source_dataset,india_tb_notifications_2025_total_notified_2025,india_tb_notifications_2025_source_dataset,nfhs_children_under_5_years_who_are_stunted_(height-for-age)18_(%),nfhs_children_under_5_years_who_are_underweight_(weight-for-age)18_(%),nfhs_children_under_5_years_who_are_wasted_(weight-for-height)18_(%),nfhs_children_age_6-59_months_who_are_anaemic_(<11.0_g/dl)22_(%),nfhs_men_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),nfhs_women_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),nfhs_men_age_15_years_and_above_who_consume_alcohol_(%),nfhs_population_living_in_households_that_use_an_improved_sanitation_facility2_(%),nfhs_households_using_clean_fuel_for_cooking3_(%),nfhs_source_dataset,census_population,census_male,census_female,census_literate,census_male_literate,census_female_literate,census_workers,census_male_workers,census_female_workers,census_main_workers,census_marginal_workers,census_non_workers,census_rural_households,census_urban_households,census_households,census_housholds_with_electric_lighting,census_households_with_internet,census_households_with_computer,census_households_with_telephone_mobile_phone,census_households_with_telephone_mobile_phone_mobile_only,census_households_with_telephone_mobile_phone_landline_only,census_households_with_television,census_households_with_bicycle,census_households_with_car_jeep_van,census_households_with_scooter_motorcycle_moped,census_households_with_separate_kitchen_cooking_inside_house,census_having_bathing_facility_total_households,census_having_latrine_facility_within_the_premises_total_households,census_ownership_owned_households,census_ownership_rented_households,census_type_of_latrine_facility_flush_pour_flush_latrine_connected_to_other_system_households,census_type_of_latrine_facility_pit_latrine_households,census_households_with_tv_computer_laptop_telephone_mobile_phone_and_scooter_car,census_literacy_rate_pct,census_female_sex_ratio_per_1000_males,census_urbanization_pct,census_owned_house_pct,census_internet_access_pct,census_electricity_access_pct,census_source_dataset,prevalence_proxy,pn_ratio,incidence_proxy,in_ratio,symptomatic_no_care_pct,private_first_provider_pct,bact_confirmed_pct,crowding_index,literacy_pct,poverty_pct,year,delay_cluster
Andhra Pradesh,64065.0,86832.0,92187.0,37609.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3.0,17.0,24.0,30.0,26.0,3.0,17.0,25.0,30.0,25.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.7,0.7,1.5,1.6,2.7,0.6,0.8,1.4,1.9,2.5,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,69371.0,1208.0,rs_RS_Session_266_AU_2511_1_clean.csv,86033.0,82215.0,81804.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,69363.0,india_tb_notifications_2025,30.38384615384616,28.766153846153845,16.096153846153847,63.46692307692308,22.41692307692308,4.178461538461539,23.354615384615386,76.69692307692308,82.86384615384615,nfhs,84580777.0,42442146.0,42138631.0,50556760.0,28251243.0,22305517.0,39422906.0,24185595.0,15237311.0,33037378.0,6385528.0,45157871.0,17174077.0,8420919.0,25594996.0,19377222.0,549284.0,1763555.0,13262317.0,11549740.0,857080.0,12358093.0,6754231.0,562769.0,3914068.0,14972999.0,14114228.0,10424003.0,16498540.0,4146219.0,204395.0,1141558.0,816992.0,59.77334542575791,992.8487357825876,32.90064589187668,64.46002179488521,2.146060112687652,75.70707180419173,census,68.52492149189887,0.000987917499126319,70571.0,1.0174156250450528,23.303076923076915,3.1919989360420296,95.5621680053003,3.304582544181683,59.77334542575791,17.136153846153846,2024,1
Arunachal Pradesh,2522.0,2724.0,2863.0,1126.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,9.0,44.0,23.0,14.0,10.0,10.0,41.0,24.0,15.0,10.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.0,1.0,2.2,5.0,5.5,1.0,0.9,2.2,8.2,9.6,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2430.0,65.0,rs_RS_Session_266_AU_2511_1_clean.csv,2606.0,1948.0,2939.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,2263.0,india_tb_notifications_2025,26.74,14.117,13.357499999999998,56.618,49.3705,18.157,53.023,84.53049999999999,52.281000000000006,nfhs,1383727.0,713912.0,669815.0,766005.0,439868.0,326137.0,587657.0,350273.0,237384.0,478721.0,108936.0,796070.0,270546.0,105414.0,375960.0,171821.0,5128.0,21247.0,126368.0,104094.0,7592.0,107624.0,50987.0,20729.0,36691.0,249360.0,111366.0,162116.0,178605.0,59201.0,26277.0,49148.0,9485.0,55.35810170647822,938.2318829211443,28.03862112990744,47.50638365783594,1.3639748909458451,45.70193637621024,census,1.1210559586278184,0.0004953848690357129,2328.0,1.0287229341581972,15.46950000000001,2.5228747739121182,74.75057559478128,3.6805165443132246,55.35810170647822,47.718999999999994,2024,2
Assam,35261.0,37641.0,47822.0,21155.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3.0,26.0,29.0,25.0,17.0,3.0,26.0,28.0,25.0,18.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.8,2.0,3.1,5.0,6.5,1.5,1.9,3.2,4.5,6.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,42202.0,1533.0,rs_RS_Session_266_AU_2511_1_clean.csv,50180.0,44878.0,49389.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,45970.0,india_tb_notifications_2025,35.69181818181818,31.59454545454545,20.69,69.80787878787878,52.94212121212121,22.31515151515152,28.83242424242424,70.10333333333332,39.919696969696965,nfhs,31205576.0,15939443.0,15266133.0,19177977.0,10568639.0,8609338.0,11969690.0,8541560.0,3428130.0,8687123.0,3282567.0,19235886.0,7588998.0,1485505.0,9074503.0,2358900.0,100173.0,593484.0,3047557.0,2766506.0,137261.0,1751229.0,3504408.0,239904.0,646410.0,4972750.0,2659101.0,4131931.0,5598028.0,435455.0,536172.0,2207938.0,164319.0,61.45689155040753,957.7582478885868,16.370097624079246,61.68963743799522,1.1038951664901098,25.99481205747576,census,25.28186334241743,0.0005499643972681625,47503.0,1.0333478355449206,29.896666666666675,1.8107768546663108,89.43403746512556,3.438819294015331,61.45689155040753,60.080303030303035,2024,2
Bihar,98994.0,131703.0,161165.0,77278.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,10.0,34.0,23.0,18.0,15.0,10.0,34.0,22.0,18.0,16.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.5,1.3,2.5,4.8,7.7,1.0,1.1,2.2,4.2,6.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,167193.0,4116.0,rs_RS_Session_266_AU_2511_1_clean.csv,184706.0,155580.0,203853.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,191937.0,india_tb_notifications_2025,42.58289473684211,41.72026315789474,24.24026315789473,70.07973684210526,48.85026315789474,4.785,15.945263157894736,49.47210526315789,36.35763157894737,nfhs,104099452.0,54278157.0,49821295.0,52504553.0,31608023.0,20896530.0,34724987.0,25222189.0,9502798.0,21359611.0,13365376.0,69374465.0,20713342.0,2701332.0,23414674.0,3098435.0,165521.0,1334565.0,10510770.0,9773448.0,425705.0,2751541.0,9230677.0,323190.0,1534633.0,15425093.0,7090850.0,4367236.0,18332993.0,396421.0,438088.0,473855.0,180385.0,50.43691584466746,917.8884795222503,11.53691911320226,78.29702433610649,0.706911400944553,13.232876955707347,census,84.33839258357361,0.0004394066416770795,196053.0,1.0214445364885354,50.52789473684211,0.7703929595603167,84.23115654066461,4.44590652852993,50.43691584466746,63.64236842105263,2024,2
Chandigarh,4294.0,4720.0,6066.0,1693.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,8.0,35.0,26.0,17.0,14.0,9.0,36.0,25.0,17.0,13.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.6,1.3,3.5,8.5,15.0,3.1,1.5,4.1,5.9,9.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,5885.0,129.0,rs_RS_Session_266_AU_2511_1_clean.csv,3912.0,3050.0,4108.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,6001.0,india_tb_notifications_2025,25.3,20.56,8.41,54.58,12.06,0.56,18.63,84.98,95.81,nfhs,1055450.0,580663.0,474787.0,805438.0,465346.0,340092.0,404136.0,328159.0,75977.0,385929.0,18207.0,651314.0,8911.0,289456.0,298367.0,231204.0,44283.0,78113.0,209783.0,148411.0,14027.0,193932.0,135055.0,60494.0,109701.0,226263.0,210801.0,206017.0,112043.0,110377.0,542.0,1178.0,67323.0,76.31228385996495,817.6636017793454,97.01340965991548,37.55207512895193,14.841788803721592,77.48980282672011,census,0.8550953414464927,0.00014249214155082364,6130.0,1.0214964172637893,15.019999999999996,22.56382240663344,77.96523517382413,3.5374220339380695,76.31228385996495,4.189999999999998,2024,3
Chhattisgarh,29339.0,32416.0,38521.0,15791.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6.0,25.0,27.0,24.0,18.0,5.0,26.0,27.0,24.0,18.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.9,2.4,4.1,7.0,11.5,1.9,2.2,4.2,6.4,10.2,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,32526.0,1571.0,rs_RS_Session_266_AU_2511_1_clean.csv,37473.0,33401.0,38957.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,37021.0,india_tb_notifications_2025,35.67333333333334,33.218148148148146,19.08185185185185,68.99259259259259,45.7925925925926,21.00777777777778,37.85333333333333,72.79962962962962,28.25555555555556,nfhs,25545198.0,12832895.0,12712303.0,15379922.0,8807893.0,6572029.0,12180225.0,7133866.0,5046359.0,8241714.0,3938511.0,13364973.0,5164079.0,1635610.0,6799689.0,4231941.0,67820.0,260971.0,1726254.0,1528665.0,86376.0,1760851.0,3428564.0,126332.0,878000.0,5331269.0,1132505.0,1382706.0,5072438.0,366686.0,105262.0,194474.0,146190.0,60.20670499402666,990.6028998133312,24.05418836067356,74.59808823609433,0.99739855749285,62.237272910569885,census,20.695987309799857,0.0005590337189649079,38592.0,1.042435374517166,27.20037037037038,2.149951269830135,89.13350946014464,3.756818583908764,60.20670499402666,71.74444444444444,2024,2
Dadra And Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343709.0,193760.0,149949.0,223230.0,142521.0,80709.0,157161.0,119293.0,37868.0,130299.0,26862.0,186548.0,48221.0,60562.0,108783.0,69558.0,2013.0,6017.0,45973.0,41837.0,1706.0,34467.0,17822.0,4136.0,18647.0,70851.0,48312.0,39999.0,40607.0,31255.0,433.0,539.0,3669.0,64.94738281511395,773.8903798513626,55.672301738323085,37.32844286331504,1.8504729599294008,63.94197622790325,census,0.2784631813096144,,,,,3.3727696423154354,,3.159583758491676,64.94738281511395,,2024,1
Daman And Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243247.0,150301.0,92946.0,188406.0,124643.0,63763.0,121271.0,107434.0,13837.0,116435.0,4836.0,121976.0,19794.0,70135.0,89929.0,59824.0,1684.0,5598.0,52172.0,45871.0,2494.0,36838.0,18381.0,3561.0,18987.0,56625.0,49815.0,47233.0,23100.0,35416.0,217.0,594.0,3652.0,77.45460375667531,618.3990791811099,77.989302672108,25.686930800965207,1.872588375273827,66.52359083276808,census,0.19707174808928418,,,,,4.060981440914499,,2.704878292875491,77.45460375667531,,2024,1
Goa,1660.0,2018.0,2091.0,871.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3.0,25.0,28.0,24.0,20.0,3.0,26.0,25.0,26.0,20.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,6.7,2.7,5.4,12.4,19.7,4.0,1.0,5.9,8.2,18.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,1710.0,117.0,rs_RS_Session_266_AU_2511_1_clean.csv,1823.0,1376.0,1973.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,1716.0,india_tb_notifications_2025,26.24,23.44,19.53,52.6,18.055,2.58,37.465,87.955,96.465,nfhs,1458545.0,739140.0,719405.0,1165487.0,615823.0,549664.0,577248.0,419536.0,157712.0,476053.0,101195.0,881297.0,204479.0,372103.0,576582.0,312761.0,41064.0,100565.0,287680.0,173533.0,39008.0,261842.0,79512.0,79373.0,183814.0,311133.0,289111.0,257338.0,254532.0,56191.0,10479.0,14177.0,71765.0,79.9075105670377,973.3000514110994,64.53600702068397,44.14497851129588,7.121970508964901,54.24397570510352,census,1.181671357989554,0.000688619672488085,1833.0,1.0681818181818181,12.045000000000002,12.446625111432546,75.47997805814592,2.529640189946963,79.9075105670377,3.5349999999999966,2024,3
Gujarat,120560.0,144731.0,151912.0,60585.0,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5.0,30.0,28.0,22.0,15.0,4.0,30.0,28.0,22.0,16.0,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.7,1.6,3.6,5.7,8.7,1.7,1.7,3.4,5.4,7.9,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,113431.0,4413.0,rs_RS_Session_266_AU_2511_1_clean.csv,133898.0,122604.0,129465.0,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports,118281.0,india_tb_notifications_2025,38.65272727272727,40.32909090909092,26.133333333333333,79.83757575757575,44.21333333333333,9.74969696969697,6.304242424242425,71.73,59.842121212121214,nfhs,60439692.0,31491260.0,28948432.0,41093358.0,23474873.0,17618485.0,24767747.0,18000914.0,6766833.0,20365374.0,4402373.0,35671945.0,9293240.0,8230790.0,17524030.0,11013214.0,381622.0,1077510.0,8399799.0,7136827.0,402969.0,6550293.0,4241134.0,743279.0,4158404.0,10426250.0,8214360.0,6985686.0,10222752.0,1649636.0,100175.0,544037.0,766063.0,67.99068069374013,919.2528974705998,46.96859112886705,58.33562257083559,2.1777068402644826,62.84635440592147,census,48.96650629367649,0.0004139845477606419,122694.0,1.0373094579856443,28.269999999999996,4.371500162919146,91.56522128784597,3.4489607698685747,67.99068069374013,40.157878787878786,2024,1
