pmid,title,journal,year,authors,abstract,query
41248341,"Implementing timeliness metrics for household contact tracing and TB preventive treatment through TB champions in the public sector, India: an explanatory mixed-methods study.",BMJ open,2025,Divya Nair; Pruthu Thekkur; Rajeswaran Thiagesan; Ashvini Vyas; Suchismita Paul; Bal Krishna Mishra; Prasanta Kumar Hota; Mohammed Khogali; Rony Zachariah; Selma Dar Berger; Srinath Satyanarayana; Ajay M V Kumar; Aaron F Bochner; Ramya Ananthakrishnan; Anthony D Harries,"A '7-1-7' timeliness metric, developed for hastening the response to infectious disease outbreaks/pandemics, was adapted to improve screening and managing household contacts (HHCs) of pulmonary tuberculosis (TB) patients. The feasibility, enablers, challenges and utility of implementing this modified metric through TB Champions (TB survivors) for HHC management were assessed. This was an explanatory mixed-methods study with a cohort design (quantitative) followed by a descriptive design with focus group discussions (qualitative). The study was conducted within routine programmatic settings in public health facilities in six districts from three states of India. In total, 595 drug-susceptible index pulmonary TB patients registered for treatment in the selected health facilities, and their listed 2108 HHCs were included in the study between December 2022 and August 2023. All 17 TB Champions involved in implementation participated in the focus group discussions. The primary outcome measures were the percentage of eligible participants receiving the desired service within the '7-1-7' timeliness metric and challenges in achieving the timeliness metrics. In 89% of 595 index patients, their HHCs were line-listed within 7 days of initiating anti-TB treatment ('First-7'). In 90% of 2108 HHCs, screening outcomes were ascertained within 1 day of line-listing ('Next-1'). In 42% of 2073 HHCs eligible for further evaluation, anti-TB treatment, TB preventive treatment (TPT) or a decision to not receive medication were made within 7 days of screening ('Second-7'). Barriers to TPT uptake included lack of money and daily wage losses for travelling to clinics, reluctance of asymptomatic contacts to take medication and fear of adverse events. TB Champions felt timeliness metrics improved performance in the systematic and timely management of HHCs. TB Champions found '7-1-7' timeliness metrics were feasible and useful, and national TB programmes should consider their operationalisation.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41209996,Strategic Leverage Points in Implementing India's Nikshay Poshan Yojana for Tuberculosis Patients: A Scoping Review.,Cureus,2025,Arjun B; Chaitra Cm; Ananthakrishnan M; Shemona Gupta,"Tuberculosis (TB) continues to pose a major public health challenge in India. Malnutrition critically worsens clinical outcomes in patients with tuberculosis. The Nikshay Poshan Yojana (NPY), a national direct benefit transfer (DBT) scheme in India, provides monthly nutritional support to TB patients. The NPY is a flagship program that plays a significant role in India's fight against TB, and its success depends on effective implementation. This scoping review synthesizes evidence on NPY implementation challenges and possible solutions and models their interconnections using a network approach. Leverage points that can enhance the program's performance are identified through network analysis and quantified via centrality metrics. Following a systematic search of relevant databases, 16 primary research studies evaluating the implementation of NPY were included in the synthesis. Qualitative findings on barriers and solutions were thematically synthesized and modeled as a network, with nodes representing the identified themes and edges indicating the co-occurrence of themes across studies. Degree and betweenness centrality measures identified key leverage points. Four main barrier categories were identified and thematically synthesized: administrative/procedural, financial/banking, patient-level, and healthcare system/provider. These contributed to significant payment delays (median: 43 days to 5.2 months). The network analysis revealed that ""lack of bank accounts"" was a highly central barrier (degree: 1.0000). Patients' health status also emerged as a critical bridging challenge (betweenness: 0.0604). The key solutions identified included simplifying banking and NPY processes (degree: 0.9286) and implementing a more robust monitoring and evaluation system (betweenness: 0.0482). Interventions targeted at these key leverage points, focusing on improved banking access, streamlined processes, and a strengthened health system, could potentially improve program implementation.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41204077,Histoplasmosis in India: clinical insights from a tertiary care hospital.,BMC infectious diseases,2025,Jinal Soni; Atul Gogia; Anivita Aggarwal,"Histoplasma capsulatum, a dimorphic fungus, is a significant cause of endemic mycosis, particularly in immunocompromised individuals. While considered endemic to the Gangetic Plains in India, reports from nonendemic regions have been increasing. This study aims to enhance the understanding and diagnosis of histoplasmosis by describing cases from a tertiary care hospital in New Delhi, India. A retrospective study involving adult patients diagnosed with histoplasmosis was conducted at Sir Ganga Ram Hospital, New Delhi, India, from 1st July 2019 to 31st March 2024. Clinical data were extracted from the hospital’s electronic medical records and analysed. Eleven patients with a mean age of 48.4 years were identified. Of the patients, 10 (90.9%) were male. Except for one patient, all had identifiable risk factors such as immunosuppressive therapy, HIV (human immunodeficiency virus), or diabetes. Common symptoms included fever (90.9%) and weight loss (72.7%). Hematological abnormalities such as anemia and leukopenia (36.3%) and radiological findings of splenomegaly (72.7%) and hepatomegaly (63.6%) were most common. Complications such as hemophagocytic lymphohistiocytosis (HLH) and multiple organ dysfunction syndrome (MODS) occurred in 27.2% of patients, with a mortality rate of 18.18%. Our study highlights that, in India, histoplasmosis is frequently detected in its advanced disseminated form, particularly among immunocompromised patients, rather than at an early acute pulmonary stage. This delay is compounded by its clinoco-radiological resemblance to infections like tuberculosis and the limited availability of rapid diagnostic tools, often requiring invasive procedures. An enhanced understanding of histoplasmosis could help mitigate misdiagnosis and lead to better treatment outcomes. These findings call for increased clinical awareness amongst clinicians and early screening in at-risk groups, supported by expanded research to strengthen epidemiological data and establish clear diagnostic guidelines.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41186778,Surface plasmon resonance-based biosensor for accurate and rapid detection of Mycobacterium tuberculosis.,Mikrochimica acta,2025,Ahmed Afif Rafsan; Simanta Das; Kowshik Kumar Roy; Md Imam Mahdi; Sadman Sakib; Md Fardin Ahasan Maraz; Md Tawsifur Rahman; Nawshad Ahmed Chowdhury,"Tuberculosis causes severe health impacts and remains a leading global killer. Delayed diagnosis prolongs infectiousness and worsens patient outcomes, so rapid detection is essential for timely treatment and to curb further spread. This research explores a highly sensitive optical surface plasmon resonance (SPR) biosensor designed for the rapid and accurate detection of Mycobacterium tuberculosis. The sensor structure comprises a multilayered configuration of <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>C</mi> <mi>a</mi> <msub><mi>F</mi> <mn>2</mn></msub> </mrow> </math> / <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>S</mi> <mi>i</mi> <msub><mi>O</mi> <mn>2</mn></msub> </mrow> </math> /Ag/AlON/BP, optimized for enhanced plasmonic response and biological interaction. Numerical simulations using the transfer matrix method (TMM) demonstrate that the proposed design achieves a maximum angular sensitivity of 615.33 deg./RIU. The finite element technique is used to verify the results of the sensor. Performance metrics such as full width at half maximum (FWHM), quality factor (QF), signal-to-noise ratio (SNR), detection accuracy (DA), and figure of merit (FOM) were systematically evaluated, highlighting the sensor's capability for precise detection within the biological refractive index range of 1.29 to 1.35. The sensor achieves a peak QF of 275.29 RIU <math xmlns=""http://www.w3.org/1998/Math/MathML""><mmultiscripts><mrow></mrow> <mrow></mrow> <mrow><mo>-</mo> <mn>1</mn></mrow> </mmultiscripts> </math> , DA of 0.50 deg <math xmlns=""http://www.w3.org/1998/Math/MathML""><mmultiscripts><mrow></mrow> <mrow></mrow> <mrow><mo>-</mo> <mn>1</mn></mrow> </mmultiscripts> </math> , SNR of 2.20, FOM of 1206.3 RIU <math xmlns=""http://www.w3.org/1998/Math/MathML""><mmultiscripts><mrow></mrow> <mrow></mrow> <mrow><mo>-</mo> <mn>1</mn></mrow> </mmultiscripts> </math> , and a minimum FWHM of 2.66 <math xmlns=""http://www.w3.org/1998/Math/MathML""><mmultiscripts><mrow></mrow> <mrow></mrow> <mo>∘</mo></mmultiscripts> </math> . A comparative analysis using TMM and finite element method (FEM) was carried out to validate the reflectance results. Compared with previously reported SPR sensors, our design exhibits superior sensitivity and overall performance of the proposed design. These findings highlight the innovation of integrating BP and AlON into a <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>C</mi> <mi>a</mi> <msub><mi>F</mi> <mn>2</mn></msub> </mrow> </math> -based prism structure, offering a promising pathway for highly sensitive and non-invasive tuberculosis diagnostics.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41186119,Spectrum of Cytological Findings in Idiopathic Granulomatous Mastitis With Clinical and Radiological Correlation: A Case Series From a North Indian Tertiary Center.,Diagnostic cytopathology,2025,Priyanka Gautam; Brijnandan Gupta; Divya Singh; Parul Singh; Mukul Singh; Gaurav Gupta; Preeti Priyadarshini,"Granulomatous mastitis is a rare, uncommon chronic inflammatory condition of the breast. The condition is a well-known mimicker of malignancy, both clinically and radiographically. Diagnostic dilemmas arise frequently in such cases, which delay the treatment. In the present study, we studied the cytomorphological features in cases of granulomatous mastitis diagnosed by fine needle aspiration cytology (FNAC) to attribute the clinical and radiological findings to each case. A total of 13 cases with cytological diagnoses of granulomatous mastitis were reviewed and studied. Fine needle aspiration was performed on these patients, and smears were examined. In this study, the cytomorphological features were studied in depth and correlated with clinical and radiological findings. Ziehl-Neelsen stain and/or Truenat were performed in all 13 cases. Clinical examination revealed a lump in the breast in all the patients and a lump with pus discharge in two patients. Ultrasonographic examination suggested an inflammatory pathology in most of the cases. The smear examination showed diverse cytomorphological features, ranging from epithelioid cell granuloma to a vague collection of histiocytes, multinucleated giant cells, neutrophils, plasma cells, and a few lymphocytes. In four cases, there was prominent emperipolesis of neutrophils. Additionally, granulomatous mastitis was diagnosed in accessory axillary breasts in one of the cases. Based on cytomorphological features and after excluding commonly encountered granulomatous infective pathology, a diagnosis of granulomatous mastitis was made. In addition, the cytological diagnosis rests on finding histiocytes with neutrophils, giant cells, and epithelioid cell granulomas with or without necrosis and excluding other common differential diagnoses like tuberculosis, fungal infection, and Rosai-Dorfman disease. It is important to keep a possibility of granulomatous mastitis in women presenting with painful nodular breast lumps. Aggressive management of other specific etiological causes of granulomatous mastitis can be avoided with an accurate cytological diagnosis of idiopathic granulomatous mastitis.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41143359,Global Burden of Delayed Care in Pulmonary Tuberculosis Cases: A Meta-analysis of Observational Studies from High Tuberculosis-burden Countries.,The Nigerian postgraduate medical journal,2025,Janmejaya Samal; Hari Singh,"Delayed tuberculosis (TB) care can have adverse effects on both patients and the community. Such delays can perpetuate transmission within the community and disrupt ongoing efforts to eliminate TB. The primary objective of this meta-analysis was to estimate the pooled proportion of pulmonary TB (P-TB) cases experiencing delays in seeking care across high-burden countries worldwide. Data extraction was conducted using three databases: PubMed, Scopus and DOAJ. This study was conducted as an extension of a scoping review, with the meta-analysis specifically aimed at estimating the pooled proportion of P-TB cases experiencing delays through quantitative data. The pooled proportion was calculated with a 95% confidence interval (CI) using a random-effects model, taking potential heterogeneity into account. Thirty-two full-text articles, selected from 831 articles, were included in the meta-analysis, representing China, India, Myanmar, South Africa and Nigeria. The total sample used across all the studies was 184,242 with a mean (standard deviation [SD]) of 5758 (17,236) and (median - 491, interquartile range - 271-1563). The highest total sample was from China (n = 176,642), and the lowest total sample was from Nigeria (n = 160). The pooled proportion of P-TB cases experiencing delays in China, India, Myanmar, South Africa and Nigeria was 50% (95% CI: 41-59), 50% (95% CI: 36-63), 38% (95% CI: 3-82), 47% (95% CI: 37-56) and 42% (95% CI: 34-50), respectively. The overall global proportion was 48% (95% CI: 41-55), with significant heterogeneity (I2 = 99.85%) observed among the studies. This study estimated that half of the global P-TB cases experienced delayed care, which is concerning and necessitates a multi-faceted approach to support TB elimination efforts.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41126216,"""Differentiated care is not a matter of feasibility but a necessity""- service providers' perception on initiating a comprehensive tuberculosis care package (CCp-K) to reduce deaths in Kerala, India.",BMC health services research,2025,Raman Swathy Vaman; Kalaiselvi Selvaraj; Dina Nair; Mathew Joseph Valamparampil; Anjali Vannadil; Jose Vincent; Reshma Rajan Sudha; Serah Mamachan; Greshma Chandrasekharan Nair; Athira Kavundezhath Radhakrishnan; Jeen Melfha; Annadurai Jeyakumar; Hemant Deepak Shewade,"Kerala reports one of the highest case fatality rates and high prevalence of comorbidities and risk factors among persons with tuberculosis (PwTB). We developed a comprehensive care model (CCp-K) focusing on triaging persons with tuberculosis for severe illness, uncontrolled diabetes, alcohol and nicotine dependence at diagnosis, and ensuring inpatient care and follow-up. In the pre-implementation phase, we explored the barriers, facilitators, and perceived suggestions in the design and implementation of CCp-K from various interest holders for sustainable implementation. We conducted an interest holder mapping and using the Power-Interest matrix of Mendelow, we purposively selected key interest holders at the district and state level. In-depth interviews were conducted using an interview guide by trained interviewers until data saturation was achieved. The audio recordings were transcribed, translated, and analysed using a framework-guided thematic analysis approach. Twelve interest holders participated in the interview, which included nine men and three women. The interviews lasted for a mean duration of 74 min (SD = 22). A total of 33 codes were generated and categorized under five themes: (i) perception on TB deaths (ii) relevance of CCp-K differentiated TB care model, (iii) perceived feasibility and enablers of implementing CCp-K, (iv) perceived barriers, and (v) perceived suggestions for the model and its delivery. The interest holders perceived that while delayed diagnosis contributes to TB mortality, the CCp-K model can bridge critical gaps in post-diagnosis care, particularly through early triaging and comorbidity management to reduce TB deaths. The robust healthcare infrastructure of Kerala, local governments and community involvement, and cross-adaptation opportunities from previous successful models were perceived as facilitators. The lack of nodal treatment centres, stigma among healthcare workers, social vulnerability, and competing priorities were perceived as major barriers. The interest holders perceived the CCp-K model to be relevant and feasible. However, Kerala should overcome the barriers of inadequate inpatient referral centers by establishing designated TB care facilities, leveraging existing collaboration with private partnerships, and strengthening the social support system.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41123477,Updates in the clinical management of tuberculous meningitis.,Expert review of anti-infective therapy,2025,Ravindra Kumar Garg,"Tuberculous meningitis is frequently associated with significant mortality and persistent neurological sequelae. Diagnosis is often delayed due to nonspecific symptoms and the low sensitivity of cerebrospinal fluid (CSF) tests. Standard pulmonary tuberculosis regimens are suboptimal for central nervous system involvement due to poor drug penetration and prolonged treatment. Emerging resistance, particularly to rifampicin and isoniazid, further complicates the management. This review synthesizes recent data particularly on diagnostic tools, drug treatment, host-directed treatments, and supportive care in tuberculous meningitis. We summarize updated WHO recommendations and explore the pharmacokinetics and CSF penetration of antituberculosis drugs. Emphasis is placed on high-dose rifampicin, linezolid, and novel oxazolidinones such as sutezolid and delpazolid. Special populations, including children, pregnant women, those with human immunodeficiency virus, and drug-resistant disease are reviewed separately. The latest information of a variety of host-directed therapies is discussed. The utility of artificial intelligence for diagnosis and prognostication is also discussed. Despite advances, tuberculous meningitis remains a clinical challenge. Early diagnosis, optimized dosing, and host-directed therapy are key priorities. Individualized regimens based on pharmacokinetics, drug resistance, and host factors are urgently needed. Precision diagnostics, new therapeutic agents, and artificial intelligence - driven tools may reduce mortality and improve outcomes.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41100650,From diagnosis to treatment: Streamlining TB care pathways in the hilly terrains of Shimla district.,The Indian journal of medical research,2025,Suman Thakur; Vivek Chauhan; Pratibha Thakur; Ravinder Kumar; Gopal Beri,"Background & objectives Tuberculosis (TB) remains a significant public health challenge in resource-limited settings like Shimla District, Himachal Pradesh, where delays in anti-tubercular treatment (ATT) initiation persist due to geographic and systemic barriers. This study aimed to evaluate the effectiveness of quality improvement interventions in reducing treatment delays using plan-do-study-act (PDSA) cycles. Methods The study implemented three interventions targeting different operational barriers: decentralising treatment initiation by routing diagnostic results to local TB units, enabling treatment initiation during holidays through accredited social health activists (ASHAs), and enhancing communication between molecular testing laboratories and peripheral units via multimedia groups. Data on delays (≥3 days) were collected from the Nikshay portal and analysed pre- and post-intervention. Results The interventions significantly reduced treatment delays, with the proportion of delayed cases dropping from 31 to 15 per cent after the first intervention. While the second intervention sustained a delay rate of 16 per cent, the third intervention further improved timeliness in rural hospitals, highlighting the critical role of efficient communication systems. However, resistance from healthcare providers in district hospitals limited the overall impact of the interventions. Operational challenges such as overburdened molecular laboratories and delays in updating results on the Nikshay portal were also identified. Interpretation & conclusions Quality improvement strategies, including decentralisation, holiday coverage, and enhanced communication, effectively reduced ATT initiation delays, particularly in rural settings. Addressing systemic inefficiencies and engaging stakeholders are critical for sustained improvements. These findings offer scalable solutions for TB programmes in similar resource-constrained contexts, contributing to global TB control goals.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
41084573,Bronchus-Associated Lymphoid Tissue Lymphoma (BALToma) Treated as Pulmonary Tuberculosis Presenting with Stridor.,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,2025,Srikant K Malegaonkar,"Bronchus-Associated Lymphoid Tissue Lymphoma (BALToma) is a rare extranodal B cell neoplasm with non-specific clinical and radiological manifestations, therby resulting in erroneous plus delayed diagnosis. Herein we present the case of a middle aged lady who was on anti tubercular treatment for her constitutional symptoms and was referred to us for management of new onset stridor. BALToma diagnosis was made after detailed evaluation of this patient and she had excellent to chemotherapy.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
